Gender,Father(cm),mother(cm),Height(cm)
F,172.72,160.02,157.48
M,172.72,160.02,170.18
M,172.72,160.02,170.18
M,172.72,160.02,167.64
F,172.72,160.02,162.56
F,172.72,160.02,161.29
F,172.72,160.02,154.94
M,173.99,161.29,173.228
M,172.72,160.02,177.8
M,173.228,161.29,177.8
M,173.228,161.29,175.26
M,173.228,161.29,170.18
M,173.228,161.29,166.37
F,173.228,161.29,163.83
M,172.72,158.75,173.99
M,174.498,157.48,171.958
F,174.498,157.48,156.718
M,172.72,158.75,168.91
M,172.72,154.94,173.99
M,172.72,154.94,172.72
M,172.72,154.94,162.56
F,172.72,154.94,161.29
F,172.72,154.94,160.02
M,172.72,152.908,169.418
M,172.72,152.4,162.56
F,172.72,152.4,154.94
F,172.72,152.4,154.94
F,172.72,152.4,152.4
F,172.72,152.4,152.4
F,172.72,152.4,152.4
F,172.72,152.4,142.24
M,172.72,152.4,171.45
M,172.72,152.4,170.18
M,172.72,152.4,168.91
F,172.72,152.4,152.4
M,173.99,149.86,175.26
M,172.72,149.86,172.72
M,172.72,149.86,165.1
M,172.72,149.86,164.338
M,172.72,149.86,162.56
M,172.72,149.86,162.56
M,172.72,149.86,160.02
F,172.72,149.86,165.1
F,172.72,149.86,165.1
F,172.72,149.86,157.48
F,172.72,149.86,154.94
M,170.18,168.148,184.658
M,170.18,168.148,184.658
M,170.18,168.148,181.61
F,170.18,168.148,166.37
F,170.18,168.148,161.29
M,170.18,168.91,180.34
M,170.18,165.1,177.038
M,170.18,165.1,171.45
F,170.18,165.1,166.37
F,170.18,165.1,165.1
F,170.18,165.1,163.83
F,170.18,165.1,161.29
M,170.18,166.37,177.8
M,170.18,166.37,175.26
F,170.18,166.37,166.37
F,170.18,166.37,166.37
F,170.18,166.37,160.02
M,170.18,166.37,177.8
M,170.18,166.37,171.958
F,170.18,166.37,160.02
F,170.18,166.37,152.4
M,170.18,165.1,165.1
F,170.18,165.1,157.48
F,170.18,165.1,157.48
M,171.45,165.1,180.34
M,171.45,165.1,175.26
F,171.45,165.1,162.56
F,171.45,165.1,162.56
F,171.45,165.1,160.02
F,171.45,165.1,160.02
F,171.45,165.1,160.02
F,171.45,165.1,160.02
F,171.45,165.1,160.02
F,171.45,165.1,158.75
F,171.45,165.1,157.48
M,170.18,162.56,181.61
M,170.18,162.56,177.8
M,170.18,162.56,170.18
M,170.18,162.56,170.18
M,170.18,161.29,180.34
M,170.18,161.29,178.308
M,170.18,161.29,175.768
M,170.18,161.29,173.99
M,170.18,161.29,172.72
M,170.18,161.29,170.18
M,170.18,161.29,166.37
F,170.18,161.29,161.29
M,170.18,160.02,175.26
M,170.18,160.02,172.72
F,170.18,160.02,160.02
M,171.45,157.48,177.8
M,171.45,157.48,176.53
M,171.45,157.48,175.26
M,171.45,157.48,173.99
F,171.45,157.48,167.64
M,170.18,154.94,170.18
M,167.64,170.18,179.07
M,167.64,170.18,179.07
M,167.64,170.18,170.18
M,167.64,170.18,167.64
M,167.64,170.18,167.64
F,167.64,170.18,157.48
F,167.64,170.18,157.48
F,167.64,170.18,156.21
M,167.64,170.18,182.88
M,167.64,170.18,165.1
M,167.64,170.18,165.1
F,167.64,170.18,170.18
F,167.64,170.18,162.56
F,167.64,170.18,162.56
F,167.64,170.18,157.48
F,167.64,170.18,152.4
F,167.64,170.18,152.4
M,167.64,167.64,167.64
M,167.64,167.64,165.1
F,167.64,167.64,170.18
F,167.64,167.64,168.91
F,167.64,167.64,166.37
M,167.64,167.64,182.88
M,167.64,167.64,172.72
F,167.64,167.64,167.64
F,167.64,167.64,165.1
F,167.64,167.64,157.48
F,167.64,167.64,154.94
M,168.91,165.1,174.498
M,168.91,165.1,173.99
M,168.91,165.1,168.91
M,168.91,165.1,163.83
F,168.91,165.1,158.75
F,168.91,165.1,153.67
F,168.91,165.1,153.67
F,168.91,165.1,146.05
M,167.64,166.37,182.88
M,167.64,166.37,180.34
M,167.64,166.37,170.18
F,167.64,166.37,167.64
F,167.64,166.37,165.1
M,167.64,160.02,177.8
F,167.64,161.29,163.83
F,167.64,161.29,157.48
M,168.91,160.02,170.688
M,168.91,160.02,170.18
M,168.91,160.02,165.1
F,168.91,160.02,165.1
F,168.91,160.02,165.1
F,168.91,160.02,160.02
M,168.91,158.75,177.8
M,168.91,158.75,172.72
F,168.91,158.75,161.29
F,168.91,158.75,158.75
F,168.91,158.75,158.75
F,168.91,158.75,158.75
F,168.91,158.75,158.75
M,167.64,156.21,177.8
M,167.64,152.4,172.72
M,167.64,152.4,170.18
M,167.64,152.4,165.1
F,167.64,152.4,152.4
M,167.64,152.4,165.1
M,167.64,149.86,172.72
M,167.64,149.86,170.18
M,167.64,149.86,168.91
M,167.64,149.86,167.64
M,167.64,149.86,166.878
M,167.64,149.86,166.37
M,167.64,149.86,165.1
F,167.64,149.86,165.1
F,167.64,149.86,162.56
F,167.64,149.86,160.02
F,167.64,149.86,157.48
F,167.64,149.86,154.94
F,167.64,149.86,152.4
F,167.64,149.86,147.32
F,167.64,149.86,144.78
M,165.1,170.18,168.91
M,165.1,170.18,167.64
M,165.1,170.18,167.64
F,165.1,170.18,165.1
F,165.1,170.18,160.02
M,165.1,167.64,160.02
F,165.1,167.64,160.02
F,165.1,167.64,160.02
F,165.1,167.64,152.4
M,165.1,165.1,175.26
M,165.1,165.1,172.72
M,165.1,165.1,172.72
F,165.1,165.1,165.1
F,165.1,165.1,165.1
F,165.1,165.1,157.48
F,165.1,165.1,157.48
F,165.1,165.1,154.94
F,165.1,165.1,149.86
M,165.1,166.37,179.578
F,165.1,166.37,166.37
M,165.1,165.1,175.768
M,165.1,165.1,175.26
M,165.1,165.1,172.72
M,165.1,165.1,171.958
F,165.1,165.1,163.83
F,165.1,165.1,153.67
M,165.1,162.56,170.18
M,165.1,162.56,170.18
F,165.1,162.56,162.56
F,165.1,162.56,162.56
F,165.1,162.56,158.75
F,165.1,162.56,153.67
M,165.1,160.02,177.8
F,165.1,160.02,160.02
M,165.1,160.02,167.64
M,165.1,160.02,167.64
F,165.1,160.02,160.02
M,166.37,160.02,180.34
M,166.37,160.02,180.34
M,166.37,160.02,175.26
F,166.37,160.02,161.29
M,166.37,152.4,172.72
M,166.37,152.4,172.72
M,166.37,152.4,170.18
M,166.37,152.4,170.18
F,166.37,152.4,157.48
M,162.56,162.56,181.61
M,162.56,162.56,172.72
F,162.56,162.56,166.37
F,162.56,162.56,162.56
F,162.56,162.56,157.48
F,162.56,162.56,157.48
F,162.56,162.56,154.94
M,162.56,162.56,179.07
M,162.56,162.56,172.72
F,162.56,162.56,170.18
F,162.56,162.56,165.1
F,162.56,162.56,162.56
F,162.56,162.56,162.56
F,162.56,162.56,152.4
M,162.56,160.02,163.83
M,162.56,152.4,167.64
F,162.56,152.4,152.4
M,157.48,167.64,162.56
F,157.48,167.64,157.48
F,157.48,167.64,154.94
M,158.75,160.02,168.91
F,158.75,160.02,144.78
M,173.99,165.1,182.88
M,173.99,165.1,179.07
M,173.99,165.1,174.498
M,173.99,165.1,173.99
M,173.99,165.1,171.958
F,173.99,165.1,162.56
F,173.99,165.1,161.29
F,173.99,165.1,160.02
